福建省厦门市湖里区南山路,"[('南山路', 6), ('号', 5), ('112', 5), ('之一', 4), ('-', 3), ('702', 2), ('街道', 1), ('1', 1), ('湖里区', 1), ('2', 1), ('羞羞', 1), ('湖里', 1), ('厦门市', 1), ('902', 1), ('200', 1), ('100', 1), ('909', 1)]"
广东省广州市南沙区珠江东路二街,"[('珠江', 2), ('沙镇', 2), ('糯米', 2), ('号', 2), ('二街', 2), ('东路', 2), ('万顷', 2), ('3498', 1), ('4673', 1)]"
广东省广州市天河区上社口岗大街,"[('12', 1), ('上', 1), ('岗', 1), ('大街', 1), ('社口', 1)]"
北京市北京市朝阳区星火西路,"[(')', 2), ('底商', 2), ('总服务台', 2), ('星火', 2), ('负', 2), ('(', 2), ('号', 2), ('泛海', 2), ('一层', 2), ('国际', 2), ('19', 2), ('西路', 2)]"
四川省成都市武侯区大石南路,"[('南路', 1), ('（', 1), ('到货', 1), ('拨打', 1), ('）', 1), ('11', 1), ('198', 1), ('号', 1), ('大石', 1), ('栋', 1), ('姜晓雪收', 1), ('15892226631', 1)]"
江苏省淮安市清江浦区淮海西路,"[('2', 1), ('号庭', 1), ('淮海', 1), ('清河区', 1), ('西路', 1)]"
广东省深圳市龙岗区东五巷,"[('街道', 1), ('坂田', 1), ('五巷', 1), ('塘', 1), ('天安', 1), ('七号', 1), ('排东', 1), ('花园', 1)]"
山东省青岛市黄岛区长江中路,"[('长江中路', 1), ('308', 1), ('二楼', 1), ('号家佳源', 1)]"
安徽省马鞍山市和县文昌中路,"[('历阳', 1), ('-', 1), ('中路', 1), ('228', 1), ('和县', 1), ('镇', 1), ('号', 1), ('8997', 1), ('文昌', 1)]"
广东省广州市从化区广场路,"[('广场', 27), ('新城', 14), ('72', 14), ('号', 14), ('路', 14), ('水族馆', 8), ('阿叶', 8), ('街口', 7), ('从化区', 5), ('广州市', 4), ('广东省', 4), ('叶', 3), ('啊', 3), ('老哥', 2), ('街', 2), ('广州', 1)]"
湖北省宜昌市西陵区东山大道,"[('109', 4), ('号', 4), ('大道', 4), ('东山', 4), ('街道', 2), ('西陵', 2), ('广场', 2), ('西陵区', 2), ('卓悦', 2)]"
广东省深圳市龙华区民治大道,"[('民治', 2), ('前', 2), ('648', 2), ('大厦', 2), ('牛栏', 2), ('号', 2), ('C1218', 2), ('大道', 2)]"
广东省肇庆市端州区景泰路13巷,"[('街道', 1), ('巷', 1), ('13', 1), ('号聪', 1), ('景泰', 1), ('1602', 1), ('路', 1), ('城东', 1)]"
湖南省湘潭市湘乡市,"[('旁边', 1), ('向', 1), ('红路', 1), ('云门', 1), ('后门', 1), ('公寓', 1), ('商城', 1), ('逸家', 1)]"
贵州省贵阳市南明区科学路,"[('贵阳市', 1), ('小红', 1), ('13', 1), ('贵州省', 1), ('南明区', 1), ('饭庄', 1), ('号', 1), ('路', 1), ('科学', 1)]"
广东省肇庆市四会市建设路,"[('1', 3), ('建设路', 2), ('3', 2), ('栋', 2), ('梯', 2), ('和', 1), ('号天', 1), ('豪庭', 1), ('一号', 1), ('天和豪庭', 1)]"
