0;;七台河市;桃山区;桃山街道万宝小区,万宝小区,"{'local_addr': '黑龙江省七台河市桃山区', 'province': '黑龙江省', 'city': '七台河市', 'district': '桃山区'}",黑龙江省七台河市桃山区,"['七台河市', '桃山区', '桃山', '街道', '万宝小区']"
0;;三明市;大田县;县城富山新村1路三巷16号,富山新村三路,"{'local_addr': '福建省三明市大田县', 'province': '福建省', 'city': '三明市', 'district': '大田县'}",福建省三明市大田县,"['三明市', '大田县', '县城', '富山新村', '1', '路', '三', '巷', '16', '号']"
0;;三明市;大田县;县城富山新村一路三巷16号,大田县,"{'local_addr': '福建省三明市大田县', 'province': '福建省', 'city': '三明市', 'district': '大田县'}",福建省三明市大田县,"['三明市', '大田县', '县城', '富山新村', '一路', '三', '巷', '16', '号']"
0;;三明市;大田县;均溪镇富山新村1路3巷16号3楼,均溪镇,"{'local_addr': '福建省三明市大田县', 'province': '福建省', 'city': '三明市', 'district': '大田县'}",福建省三明市大田县,"['三明市', '大田县', '均溪镇', '富山新村', '1', '路', '3', '巷', '16', '号', '3', '楼']"
0;;三明市;大田县;均溪镇富山新村1路三巷16号,均溪镇,"{'local_addr': '福建省三明市大田县', 'province': '福建省', 'city': '三明市', 'district': '大田县'}",福建省三明市大田县,"['三明市', '大田县', '均溪镇', '富山新村', '1', '路', '三', '巷', '16', '号']"
0;;三明市;大田县;均溪镇富山新村1路三巷16号3楼,均溪镇,"{'local_addr': '福建省三明市大田县', 'province': '福建省', 'city': '三明市', 'district': '大田县'}",福建省三明市大田县,"['三明市', '大田县', '均溪镇', '富山新村', '1', '路', '三', '巷', '16', '号', '3', '楼']"
0;;三明市;尤溪县;西城镇三车物流园5栋,西城镇,"{'local_addr': '福建省三明市尤溪县', 'province': '福建省', 'city': '三明市', 'district': '尤溪县'}",福建省三明市尤溪县,"['三明市', '尤溪县', '西城镇', '三车物流园', '5', '栋']"
0;;上海市;卢湾区;全区小杨生煎(南京东路店),小杨生煎(南京东路店),"{'local_addr': '上海市上海市黄浦区', 'province': '上海市', 'city': '上海市', 'district': '黄浦区'}",上海市上海市黄浦区,"['上海市', '卢湾区', '全区', '小杨生煎(南京东路店)']"
0;;上海市;卢湾区;全区盛达机电市场-南门,黄浦区,"{'local_addr': '上海市上海市黄浦区', 'province': '上海市', 'city': '上海市', 'district': '黄浦区'}",上海市上海市黄浦区,"['上海市', '卢湾区', '全区', '盛达', '机电市场', '-', '南门']"
0;;上海市;嘉定区;全区南翔镇中建溪岸澜庭47单元12楼1211室,溪岸澜庭,"{'local_addr': '上海市上海市嘉定区', 'province': '上海市', 'city': '上海市', 'district': '嘉定区'}",上海市上海市嘉定区,"['上海市', '嘉定区', '全区', '南翔镇', '中建', '溪岸澜庭', '47', '单元', '12', '楼', '1211室']"
0;;上海市;嘉定区;全区南翔镇德园路1259弄76单4102室,德园路1259弄,"{'local_addr': '上海市上海市嘉定区', 'province': '上海市', 'city': '上海市', 'district': '嘉定区'}",上海市上海市嘉定区,"['上海市', '嘉定区', '全区', '南翔镇', '德园路1259弄', '76', '单', '4102室']"
